price,odo,year,khv,vdk,blg
1230000,151700,2013,0,1,0
1350000,220000,2012,1,0,0
1500000,125000,2013,1,0,0
1800000,70000,2015,0,1,0
1450000,180000,2013,0,0,1
1350000,190000,2015,1,0,0
1330000,112954,2013,0,0,1
1150000,225000,2014,1,0,0
1050000,276927,2012,1,0,0
1250000,240000,2015,0,0,1
1380000,147000,2013,0,1,0
1150000,306000,2011,0,1,0
1310000,88000,2013,0,0,1
1100000,183561,2012,1,0,0
1250000,255000,2013,0,1,0
1450000,221000,2014,0,0,1
1140000,170000,2014,0,1,0
1125000,242150,2013,1,0,0
1150000,153000,2012,1,0,0
1400000,204000,2014,1,0,0
990000,221000,2012,0,0,1
1550000,180000,2015,1,0,0
1350000,162000,2014,1,0,0
1399569,109000,2014,0,0,1
1420000,138000,2015,1,0,0
1270000,190760,2015,0,0,1
1300000,150000,2012,1,0,0
1100000,273000,2012,0,0,1
1390000,167000,2014,0,0,1
1100000,220000,2011,0,0,1
850000,253000,2012,0,1,0
1200000,180000,2012,0,1,0
1100000,250000,2015,0,1,0
1120000,279530,2012,0,1,0
1100000,318219,2011,0,1,0
920000,282316,2011,0,0,1
810000,300000,2012,0,1,0
1150000,400000,2014,0,1,0
1300000,161000,2015,1,0,0
1200000,205000,2012,1,0,0
1500000,290000,2014,1,0,0
1200000,320000,2015,1,0,0
1500000,150000,2015,1,0,0
992000,240000,2012,0,0,1
1250000,372877,2015,0,1,0
770000,313000,2012,0,1,0
1160000,320000,2014,0,1,0
1000000,220000,2013,0,1,0
1199000,173200,2012,0,0,1
980000,232000,2012,1,0,0
1350000,154000,2015,1,0,0
1000000,215000,2012,1,0,0
1039000,250000,2011,0,1,0
1300000,193000,2014,1,0,0
1180000,209000,2013,0,1,0
1290000,217000,2012,1,0,0
980000,213000,2014,0,1,0
1150000,360,2013,1,0,0
1200000,230000,2012,1,0,0
1450000,121595,2014,1,0,0
1180000,168000,2012,1,0,0
990000,299000,2012,0,0,1
1280000,156000,2013,0,0,1
1100000,137396,2012,0,0,1
1430000,170000,2014,0,0,1
1360000,160000,2014,1,0,0
1270000,175000,2013,0,0,1
1235000,210000,2013,1,0,0
1050000,221000,2012,0,1,0
1000000,196000,2011,1,0,0
1270000,162105,2012,1,0,0
1125000,170000,2012,1,0,0
1090000,200000,2012,0,1,0
1400000,120000,2013,0,0,1
1250000,190000,2012,1,0,0
1200000,207000,2011,1,0,0
1250000,220220,2014,0,1,0
1200000,280000,2013,0,1,0
1350000,191500,2015,1,0,0
1310000,207540,2015,0,1,0
1550000,118000,2014,0,0,1
1450000,139000,2015,0,0,1
1200000,263000,2013,1,0,0
1100000,186000,2012,0,1,0
1550000,200000,2012,1,0,0
1300000,222500,2012,1,0,0
1340000,136137,2013,0,0,1
1425000,134000,2013,0,1,0
1430000,207000,2014,0,0,1
1400000,270000,2015,0,0,1
1290000,159000,2013,0,1,0
1000000,260000,2013,0,1,0
1350000,260000,2012,1,0,0
1230000,160000,2012,0,0,1
1180000,146000,2014,0,1,0
1320000,162000,2013,0,1,0
1200000,180000,2012,0,1,0
1020000,279000,2011,0,1,0
1000000,150000,2013,0,0,1
1250000,240000,2012,0,1,0
1085000,308000,2012,0,0,1
1150000,218158,2011,1,0,0
1450000,260000,2015,1,0,0
750000,340000,2012,0,1,0
1230000,220000,2012,1,0,0
1350000,161000,2013,1,0,0
1390000,153074,2013,0,1,0
1100000,196000,2012,0,0,1
1400000,145000,2014,1,0,0
1400000,96000,2011,0,0,1
1200000,192000,2012,0,1,0
1550000,53500,2015,0,1,0
1390000,153074,2013,0,0,1
1200000,180000,2012,1,0,0
1100000,357000,2013,0,1,0
1295000,181000,2012,0,0,1
1320000,139421,2013,0,1,0
1000000,318000,2014,0,1,0
1360000,139000,2013,1,0,0
1650000,173200,2013,0,0,1
1350000,245000,2012,0,0,1
1480000,114000,2013,0,0,1
1200000,178000,2012,0,1,0
1000000,185115,2012,0,0,1
1390000,108000,2012,1,0,0
1170000,231000,2014,1,0,0
1200000,315000,2012,1,0,0
1360000,147579,2012,0,1,0
1320000,130030,2014,1,0,0
1190000,223000,2014,0,0,1
1060000,312000,2012,0,1,0
1420000,215000,2015,0,1,0
870000,260000,2012,0,1,0
1180000,248000,2013,0,1,0
1290000,300000,2014,0,1,0
1250000,310000,2014,1,0,0
1400000,185000,2015,1,0,0
825000,250000,2013,0,1,0
900000,400000,2012,0,0,1
1500000,235000,2013,1,0,0
1410000,55332,2015,0,0,1
919000,326000,2012,0,1,0
950000,166750,2012,1,0,0
1020000,270000,2012,1,0,0
870000,375000,2011,0,1,0
1330000,149026,2013,0,0,1
1100000,222000,2012,1,0,0
1000000,219000,2012,0,1,0
830000,402594,2013,0,1,0
1180000,202000,2012,0,1,0
1330000,162000,2013,1,0,0
1400000,139000,2012,0,0,1
1370000,140000,2014,0,1,0
1330000,149026,2013,0,1,0
1500000,121000,2012,0,0,1
1300000,15197,2015,1,0,0
1100000,147000,2011,0,1,0
1300000,111111,2011,0,0,1
1420000,183000,2015,0,0,1
1190000,259000,2012,1,0,0
1150000,211112,2012,1,0,0
1300000,185000,2013,0,0,1
985000,275000,2013,0,1,0
1320000,139421,2013,0,0,1
1250000,181100,2012,1,0,0
1300000,275559,2013,0,1,0
1050000,204000,2012,1,0,0
1000000,211042,2012,1,0,0
1410000,55332,2015,0,1,0
950000,315036,2013,0,1,0
1380000,218000,2013,0,0,1
850000,390000,2012,0,1,0
1199999,91000,2013,0,1,0
1188000,190000,2012,0,1,0
1350000,235000,2014,0,1,0
1100000,303000,2012,0,1,0
1200000,268000,2015,0,1,0
900000,215000,2012,0,0,1
1600000,102000,2015,1,0,0
1200000,194500,2013,0,1,0
1250000,140000,2014,0,0,1
1400000,115000,2013,0,0,1
1000000,292219,2012,0,0,1
1450000,146000,2014,0,0,1
1270000,240000,2012,1,0,0
955000,236000,2011,0,0,1
880000,297368,2012,1,0,0
1370000,157000,2013,1,0,0
1340000,136137,2013,0,1,0
1400000,232000,2014,1,0,0
1200000,265000,2014,1,0,0
1340000,154000,2012,0,0,1
1200000,193000,2012,1,0,0
1030000,198000,2012,0,1,0
915000,270000,2011,0,1,0
1190000,174000,2012,1,0,0
1360000,147579,2012,0,0,1
1200000,190000,2012,1,0,0
1570000,202867,2015,1,0,0
1500000,130000,2012,0,0,1
1270000,158000,2012,0,0,1
1300000,248598,2014,0,1,0
1450000,145000,2015,1,0,0
1100000,272000,2013,1,0,0
1370000,146000,2012,0,1,0
1230000,208000,2014,0,1,0
1200000,141000,2012,0,1,0
1215000,215000,2014,0,1,0
1137000,274674,2011,1,0,0
920000,250000,2013,1,0,0
1245000,218000,2012,1,0,0
950000,105000,2012,0,1,0
966000,370000,2012,1,0,0
1100000,288000,2014,1,0,0
1200000,293000,2015,0,1,0
1200000,290000,2015,0,1,0
1370000,120000,2013,1,0,0
1330000,112954,2013,0,1,0
1280000,159964,2014,1,0,0
1100000,241000,2014,0,0,1
1280000,220000,2014,0,1,0
1500000,178000,2015,0,0,1
1100000,300000,2015,0,1,0
1050000,285000,2012,0,1,0
910000,215000,2013,1,0,0
1100000,165000,2011,0,1,0
1200000,268000,2012,0,0,1
1320000,211000,2012,0,1,0
1050000,273000,2012,0,1,0
1230000,125000,2014,0,1,0
1125000,249545,2014,0,1,0
1150000,261800,2014,0,1,0
1130629,220000,2012,1,0,0
1275000,66878,2015,0,0,1
1200000,218634,2012,1,0,0
945000,280000,2012,0,1,0
1030000,310000,2014,0,1,0
1350000,200000,2014,0,1,0
1200000,304000,2014,0,1,0
1180000,250000,2014,1,0,0
1500000,260450,2012,0,0,1
1535000,105000,2013,0,0,1
1250000,275000,2014,0,0,1
1100000,350000,2014,0,1,0
1400000,330000,2015,1,0,0
1330000,175000,2013,0,1,0
1180000,180000,2013,1,0,0
1200000,210000,2012,0,0,1
1310000,88000,2013,0,1,0
1150000,300000,2014,0,1,0
1075000,230000,2013,0,1,0
760000,300000,2011,0,1,0
1210000,199347,2015,0,1,0
1580000,144000,2015,0,1,0
1300000,268000,2012,0,1,0
1350000,165000,2014,0,1,0
1100000,248000,2013,0,0,1
1350000,130000,2012,1,0,0
1590000,183000,2013,1,0,0
1050000,295000,2014,0,1,0
1300000,200000,2012,0,0,1
1490000,145000,2012,1,0,0
1300000,203333,2014,0,1,0
1400000,195000,2015,0,0,1
1360000,190000,2015,0,0,1
1130000,176000,2012,0,1,0
1100000,229976,2012,0,1,0
1150000,148000,2011,1,0,0
1000000,183000,2012,1,0,0
1050000,244000,2014,0,0,1
1350000,165000,2012,0,0,1
1250000,204000,2014,1,0,0
1150000,383150,2012,1,0,0
1300000,170000,2014,0,1,0
1275000,66878,2015,1,0,0
1200000,300000,2012,1,0,0
1000000,191834,2012,1,0,0
1579000,100000,2013,1,0,0
1350000,154000,2013,1,0,0
915000,254683,2012,1,0,0
900000,238000,2013,1,0,0
1180000,175000,2011,0,1,0
1220000,204984,2014,1,0,0
